veh,logfile,line,date,time,secs,speed (mph),long,lat,x-ft,y-ft
C590,1,100886,4/20/2009,18:22:00,18743,43.8,-58.357293999999996,33.474117,-22509807,15479241
C832,1,39617,4/20/2009,18:22:00,17909,31.3,-58.475874000000005,33.489241,-22541287,15484757
C548,1,46669,4/20/2009,18:22:00,19039,39.6,-58.530072000000004,33.492921,-22555790,15486099
C590,1,100888,4/20/2009,18:22:01,18744,44.3,-58.357303,33.474296,-22509804,15479306
C832,1,39618,4/20/2009,18:22:01,17910,33.3,-58.475879000000006,33.489373,-22541283,15484805
C548,1,46670,4/20/2009,18:22:01,19040,39.4,-58.529866,33.492876,-22555736,15486082
C590,1,100890,4/20/2009,18:22:02,18745,44.5,-58.35731199999999,33.474477,-22509800,15479372
C832,1,39621,4/20/2009,18:22:02,17911,35.1,-58.475886,33.489515000000004,-22541280,15484857
C548,1,46671,4/20/2009,18:22:02,19041,39.4,-58.529662,33.492832,-22555682,15486066
C590,1,100892,4/20/2009,18:22:03,18746,44.7,-58.357321999999996,33.474657,-22509796,15479438
C832,1,39622,4/20/2009,18:22:03,17912,36.7,-58.475892,33.489663,-22541276,15484911
C548,1,46672,4/20/2009,18:22:03,19042,39.1,-58.52945600000001,33.492785999999995,-22555629,15486050
C590,1,100952,4/20/2009,18:22:04,18747,44.7,-58.357332,33.474838,-22509792,15479504
C832,1,39623,4/20/2009,18:22:04,17913,36.7,-58.475899,33.489814,-22541273,15484966
C548,1,46673,4/20/2009,18:22:04,19043,38.9,-58.52925400000001,33.492740999999995,-22555576,15486033
C590,1,100961,4/20/2009,18:22:05,18748,44.5,-58.35734000000001,33.475017,-22509788,15479569
C832,1,39624,4/20/2009,18:22:05,17914,36.2,-58.475909,33.489962,-22541270,15485020
C548,1,46674,4/20/2009,18:22:05,19044,38.9,-58.529053000000005,33.492696,-22555523,15486017
C590,1,100963,4/20/2009,18:22:06,18749,44.5,-58.357349,33.475196999999994,-22509784,15479635
C832,1,39625,4/20/2009,18:22:06,17915,35.3,-58.47591800000001,33.490107,-22541268,15485073
C548,1,46675,4/20/2009,18:22:06,19045,38.9,-58.528852,33.492651,-22555470,15486001
C590,1,100965,4/20/2009,18:22:07,18750,44.3,-58.35735600000001,33.475377,-22509779,15479700
C832,1,39645,4/20/2009,18:22:07,17916,34.4,-58.475926,33.490247,-22541265,15485124
C548,1,46676,4/20/2009,18:22:07,19046,39.4,-58.528649,33.492606,-22555417,15485984
C590,1,100976,4/20/2009,18:22:08,18751,44.1,-58.357365,33.475556,-22509775,15479765
C832,1,39690,4/20/2009,18:22:08,17917,33.6,-58.47593499999999,33.490384000000006,-22541262,15485174
C548,1,46678,4/20/2009,18:22:08,19047,40.3,-58.528442,33.492561,-22555363,15485967
C590,1,100978,4/20/2009,18:22:09,18752,43.4,-58.35737399999999,33.475732,-22509771,15479830
C832,1,39695,4/20/2009,18:22:09,17918,30.9,-58.475941000000006,33.490514000000005,-22541259,15485221
C548,1,46683,4/20/2009,18:22:09,19048,40.7,-58.528233,33.492515000000004,-22555308,15485951
C590,1,100980,4/20/2009,18:22:10,18753,43.2,-58.357383999999996,33.475907,-22509768,15479894
C832,1,39696,4/20/2009,18:22:10,17919,26.2,-58.47594599999999,33.490627,-22541256,15485262
C548,1,46684,4/20/2009,18:22:10,19049,40.9,-58.528020999999995,33.492468,-22555252,15485934
C590,1,100982,4/20/2009,18:22:11,18754,43.6,-58.357395,33.476083,-22509764,15479958
C832,1,39701,4/20/2009,18:22:11,17920,21.3,-58.475950999999995,33.49072,-22541254,15485296
C548,1,46685,4/20/2009,18:22:11,19050,41.6,-58.52780600000001,33.49242,-22555196,15485916
C590,1,101066,4/20/2009,18:22:12,18755,44.1,-58.35740600000001,33.476258,-22509761,15480022
C832,1,39702,4/20/2009,18:22:12,17921,16.1,-58.475955,33.490793,-22541253,15485323
C548,1,46686,4/20/2009,18:22:12,19051,42.1,-58.527589000000006,33.492373,-22555139,15485899
C590,1,101069,4/20/2009,18:22:13,18756,44.1,-58.35741800000001,33.476436,-22509758,15480087
C832,1,39703,4/20/2009,18:22:13,17922,10.7,-58.475956999999994,33.490844,-22541252,15485341
C548,1,46687,4/20/2009,18:22:13,19052,42.3,-58.527367,33.492323999999996,-22555081,15485881
C590,1,101089,4/20/2009,18:22:14,18757,43.8,-58.357426000000004,33.476611,-22509754,15480151
C832,1,39704,4/20/2009,18:22:14,17923,5.4,-58.475959,33.490871999999996,-22541251,15485352
C548,1,46692,4/20/2009,18:22:14,19053,43.0,-58.52714300000001,33.492274,-22555022,15485863
C590,1,101092,4/20/2009,18:22:15,18758,43.8,-58.357433,33.476788,-22509749,15480215
C832,1,39709,4/20/2009,18:22:15,17924,0.0,-58.475959,33.490894,-22541251,15485360
C548,1,46693,4/20/2009,18:22:15,19054,43.4,-58.526917,33.492224,-22554963,15485845
C590,1,101104,4/20/2009,18:22:16,18759,43.8,-58.357442000000006,33.476965,-22509745,15480279
C832,1,39710,4/20/2009,18:22:16,17925,0.0,-58.475959,33.490894,-22541251,15485360
C548,1,46694,4/20/2009,18:22:16,19055,43.2,-58.526689000000005,33.492174,-22554903,15485826
C590,1,101117,4/20/2009,18:22:17,18760,43.8,-58.357451999999995,33.477142,-22509742,15480344
C832,1,39847,4/20/2009,18:22:17,17926,0.0,-58.475959,33.490894,-22541251,15485360
C548,1,46695,4/20/2009,18:22:17,19056,43.2,-58.526464000000004,33.492124,-22554844,15485808
C590,1,101119,4/20/2009,18:22:18,18761,44.1,-58.357462999999996,33.477315999999995,-22509739,15480408
C832,1,39871,4/20/2009,18:22:18,17927,0.0,-58.475959,33.490894,-22541251,15485360
C548,1,46696,4/20/2009,18:22:18,19057,43.0,-58.526238000000006,33.492072,-22554785,15485789
C590,1,101121,4/20/2009,18:22:19,18762,44.3,-58.357472,33.477494,-22509735,15480472
C832,1,39908,4/20/2009,18:22:19,17928,0.0,-58.475959,33.490894,-22541251,15485360
C548,1,46697,4/20/2009,18:22:19,19058,43.2,-58.526013000000006,33.492021,-22554726,15485771
C590,1,101123,4/20/2009,18:22:20,18763,44.1,-58.35748100000001,33.477671,-22509731,15480537
C832,1,39912,4/20/2009,18:22:20,17929,0.0,-58.475959,33.490894,-22541251,15485360
C548,1,46698,4/20/2009,18:22:20,19059,43.4,-58.525788000000006,33.49197,-22554667,15485752
C590,1,101164,4/20/2009,18:22:21,18764,43.6,-58.35749,33.477846,-22509727,15480601
C832,1,39913,4/20/2009,18:22:21,17930,0.0,-58.475959,33.490894,-22541251,15485360
C548,1,46703,4/20/2009,18:22:21,19060,43.8,-58.525560999999996,33.49192,-22554608,15485734
C590,1,101166,4/20/2009,18:22:22,18765,43.2,-58.357499000000004,33.478019,-22509723,15480664
C832,1,39914,4/20/2009,18:22:22,17931,0.0,-58.475959,33.490894,-22541251,15485360
C548,1,46704,4/20/2009,18:22:22,19061,44.5,-58.52533100000001,33.491869,-22554547,15485715
C590,1,101168,4/20/2009,18:22:23,18766,43.2,-58.357507999999996,33.478193,-22509719,15480727
C832,1,39917,4/20/2009,18:22:23,17932,0.0,-58.475959,33.490894,-22541251,15485360
C548,1,46705,4/20/2009,18:22:23,19062,45.0,-58.525098,33.491817,-22554487,15485696
C590,1,101170,4/20/2009,18:22:24,18767,43.6,-58.357518,33.478367999999996,-22509716,15480791
C832,1,39918,4/20/2009,18:22:24,17933,0.0,-58.475959,33.490894,-22541251,15485360
C548,1,46706,4/20/2009,18:22:24,19063,45.2,-58.524862,33.491765,-22554425,15485677
C590,1,101178,4/20/2009,18:22:25,18768,44.1,-58.357527000000005,33.478546,-22509712,15480856
C832,1,40472,4/20/2009,18:22:25,17934,0.0,-58.475959,33.490894,-22541251,15485360
C548,1,46707,4/20/2009,18:22:25,19064,45.2,-58.524626,33.491713,-22554363,15485658
C590,1,101180,4/20/2009,18:22:26,18769,44.3,-58.357535999999996,33.478722999999995,-22509708,15480921
C832,1,40474,4/20/2009,18:22:26,17935,0.0,-58.475959,33.490894,-22541251,15485360
C548,1,46708,4/20/2009,18:22:26,19065,44.7,-58.524393,33.491661,-22554302,15485639
C590,1,101182,4/20/2009,18:22:27,18770,44.3,-58.35754399999999,33.478901,-22509704,15480986
C832,1,40479,4/20/2009,18:22:27,17936,0.0,-58.475959,33.490894,-22541251,15485360
C548,1,46709,4/20/2009,18:22:27,19066,44.1,-58.524163,33.491609000000004,-22554241,15485620
C590,1,101184,4/20/2009,18:22:28,18771,44.1,-58.35755400000001,33.479079999999996,-22509700,15481051
C832,1,40480,4/20/2009,18:22:28,17937,0.0,-58.475959,33.490894,-22541251,15485360
C548,1,46723,4/20/2009,18:22:28,19067,43.6,-58.523934999999994,33.491557,-22554182,15485602
C590,1,101192,4/20/2009,18:22:29,18772,43.8,-58.357561000000004,33.479258,-22509696,15481116
C832,1,40481,4/20/2009,18:22:29,17938,0.0,-58.475959,33.490894,-22541251,15485360
C548,1,46757,4/20/2009,18:22:29,19068,43.0,-58.523709999999994,33.491508,-22554123,15485584
C590,1,101194,4/20/2009,18:22:30,18773,43.4,-58.357569999999996,33.479434000000005,-22509692,15481180
C832,1,40482,4/20/2009,18:22:30,17939,0.0,-58.475959,33.490894,-22541251,15485360
C548,1,46758,4/20/2009,18:22:30,19069,42.5,-58.523488,33.49146,-22554065,15485566
C590,1,101220,4/20/2009,18:22:31,18774,43.2,-58.35758,33.479609,-22509688,15481244
C832,1,40490,4/20/2009,18:22:31,17940,0.0,-58.475959,33.490894,-22541251,15485360
